Município;1991;2000;2010;Total
150285 CURUA;...;4,06;3,66;3,81
150290 CURUCA;15,32;17,46;8,1;12,64
150293 DOM ELISEU;3,04;14,38;12,93;11,66
150295 ELDORADO DOS CARAJAS;...;9,34;5,84;7,46
150300 FARO;12,17;13,15;2,71;9,68
150304 FLORESTA DO ARAGUAIA;...;4,66;12,54;8,98
150307 GARRAFAO DO NORTE;5,81;5,55;2,52;4,27
150309 GOIANESIA DO PARA;...;7,05;8,38;7,83
150310 GURUPA;4,3;7,79;4,28;5,4
150320 IGARAPE-ACU;3,97;12,66;11,67;10,25
150330 IGARAPE-MIRI;4,43;10,41;8,54;8,34
150340 INHANGAPI;7,52;4,8;7,21;6,48
150345 IPIXUNA DO PARA;...;8,47;10,62;9,9
150350 IRITUIA;1,89;5,35;3,98;3,87
150360 ITAITUBA;5,27;11,38;7,11;7,89
150370 ITUPIRANGA;2,38;5,59;8,67;6,1
150375 JACAREACANGA;...;8,34;6,82;7,75
150380 JACUNDA;3,21;10,58;15,28;10,73
150390 JURUTI;5,47;7,83;8,74;7,87
150400 LIMOEIRO DO AJURU;1,96;5,69;4,28;4,18
150405 MAE DO RIO;6,05;11,73;7,04;8,28
150410 MAGALHAES BARATA;1,36;4,27;4,83;3,49
150420 MARABA;6,05;12,98;9,59;9,98
150430 MARACANA;3,48;13,2;4,7;7,18
150440 MARAPANIM;6,07;11,83;4,52;7,17
150442 MARITUBA;...;22,11;14,44;17,25
150445 MEDICILANDIA;6,07;5;2,41;4,32
150450 MELGACO;3,38;7,09;14,25;9,71
150460 MOCAJUBA;1,74;9,8;11,57;8,7
150470 MOJU;3,9;13,82;5,93;7,77
150480 MONTE ALEGRE;4,68;6,16;6,91;6,07
150490 MUANA;5,16;11,44;9,83;9,37
150495 NOVA ESPERANCA DO PIRIA;...;1,8;1,75;1,77
150497 NOVA IPIXUNA;...;8,2;6,44;7,18
150500 NOVA TIMBOTEUA;6,97;7,95;6,4;7,06
150503 NOVO PROGRESSO;...;3,27;3,45;3,37
150506 NOVO REPARTIMENTO;...;10,2;4,57;6,57
150510 OBIDOS;3,88;8,72;5,58;6,26
150520 OEIRAS DO PARA;1,92;8,71;4,43;5,37
150530 ORIXIMINA;2,9;15,68;9,96;10,13
150540 OUREM;1,33;7,43;6,51;4,37
150543 OURILANDIA DO NORTE;5,84;15,82;6,91;8,96
150548 PACAJA;2,75;8,45;4,29;4,91
150549 PALESTINA DO PARA;...;10,17;6,39;8,16
150550 PARAGOMINAS;1,68;11,88;9,97;8,53
150553 PARAUAPEBAS;3,47;14,89;10,53;10,62
150555 PAU D'ARCO;...;18,35;8,66;13,96
